Country Name,Country Code,Series Name,Series Code,2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,Income share held by fourth 20%,SI.DST.04TH.20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Income share held by highest 20%,SI.DST.05TH.20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Income share held by second 20%,SI.DST.02ND.20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Income share held by third 20%,SI.DST.03RD.20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Population, total",SP.POP.TOTL,25903301,26427199,27385307,28189672,29249157,30466479,31541209,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462,41128771
Afghanistan,AFG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,..,412.537509545075,513.792144890192,556.163841052646,598.215244800464,586.613688941914,575.68079644126,526.930235464098,489.00974037583,494.93492027991,458.344565843406,467.186947260786,475.084737273174,..,..
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,429.412267248095,437.419751677908,512.408956951877,569.282353956434,551.00062369988,596.442439966449,608.386331910323,602.516600325407,592.476164793256,590.427367421378,588.930080331481,578.985544847804,584.386515325947,553.036131033118,426.229401276432,..
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,375.07826147255,387.849288097831,443.845150536332,554.59473461788,621.912413814308,663.141052810937,651.987861948108,628.146803888496,592.476164793256,520.251954939821,530.14986261654,502.057099211089,500.52298078433,516.866797351726,363.674087113049,..
Afghanistan,AFG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,1528.34457777944,1556.84445154502,1823.74261448512,2026.16381797997,1961.09631655741,2122.83075870676,2165.3409147556,2144.44963352063,2108.71417281186,2101.42218654807,2096.09311055337,2060.69897292797,2079.92186098824,1968.34100152116,1517.0162662229,..
Afghanistan,AFG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,1570,1770,1750,1960,2070,2110,2150,2040,2120,2130,2200,2100,1690,..
Afghanistan,AFG,GDP per capita (constant LCU),NY.GDP.PCAP.KN,25678.7914907061,26157.6379017693,30641.9815341124,34043.0024513943,32949.7576254933,35667.1716675892,36381.4146788096,36030.4055787636,35429.9889857345,35307.4711991414,35217.9336476653,34623.2518636684,34946.2291173097,33071.4806696974,25488.4565658262,..
